公演ID,コントID,コント名,コントの時間,URL,小道具,関連性の強い公演(id),関連性の高い公演名
5,501,無用途人間,3:45,https://www.youtube.com/watch?v=f0xPUeti-i4&list=PL3cCMobmLiJcqJhY92un4Igmy1rhDEwzQ,,508,無類人間
5,502,読書対決,16:36,https://www.youtube.com/watch?v=qDIllK4BTNA&list=PL3cCMobmLiJcqJhY92un4Igmy1rhDEwzQ&index=2,本,,
5,503,映画好きのふたり,15:19,https://www.youtube.com/watch?v=0Zw3Bpu4OLc&list=PL3cCMobmLiJcqJhY92un4Igmy1rhDEwzQ&index=3,,,
5,504,縄跳び部,11:44,https://www.youtube.com/watch?v=8l_oDwCJ0lE&list=PL3cCMobmLiJcqJhY92un4Igmy1rhDEwzQ&index=4,縄跳び,,
5,505,ファン,14:56,https://www.youtube.com/watch?v=fWubIFt9ZF0&list=PL3cCMobmLiJcqJhY92un4Igmy1rhDEwzQ&index=5,札束,,
5,506,百万円,16:13,https://www.youtube.com/watch?v=VdNJ_nfhJW8&list=PL3cCMobmLiJcqJhY92un4Igmy1rhDEwzQ&index=6,,,
5,507,漫画家と担当,17:11,https://www.youtube.com/watch?v=jUhA-0nNVO0&list=PL3cCMobmLiJcqJhY92un4Igmy1rhDEwzQ&index=7,,,
5,508,無類人間,5:53,https://www.youtube.com/watch?v=x32mNzbHxVs&list=PL3cCMobmLiJcqJhY92un4Igmy1rhDEwzQ&index=8,,,
6,601,初男,8:51,https://www.youtube.com/watch?v=ISfu76VTdJs&list=PL3cCMobmLiJfil9oGmNIOstLH0d2zuJsb,,,
6,602,埋蔵金,8:51,https://www.youtube.com/watch?v=HRqPbOZheWg&list=PL3cCMobmLiJfil9oGmNIOstLH0d2zuJsb&index=2,,,
6,603,海豹,9:43,https://www.youtube.com/watch?v=9dhs6jvNSv0&list=PL3cCMobmLiJfil9oGmNIOstLH0d2zuJsb&index=3,,,
6,604,アレグレット,6:31,https://www.youtube.com/watch?v=eEnMsc1ZqDA&list=PL3cCMobmLiJfil9oGmNIOstLH0d2zuJsb&index=4,,,
