コントID_1,コントID_2,cosine_similarity
1106,1201,0.8196197748184204
1106,1202,0.8676230907440186
1106,1203,0.5577853918075562
1106,1204,0.6444809436798096
1106,1205,0.8407927751541138
1106,1206,0.8788701295852661
1106,1301,0.810019314289093
1106,1302,0.888931393623352
1106,1303,0.8571308851242065
1106,1304,0.8395299315452576
1106,1305,0.6883558630943298
1106,1306,0.8544319868087769
1106,1307,0.8336272239685059
1106,1308,0.6166235208511353
1106,1501,0.8465693593025208
1106,1502,0.7148751616477966
1106,1503,0.5973784327507019
1106,1504,0.6812484860420227
1106,1505,0.8386692404747009
1106,1506,0.8625891208648682
1106,1507,0.5952173471450806
1106,501,0.620945394039154
1106,502,0.7743025422096252
1106,508,0.718870222568512
1106,610,0.8794029355049133
1106,701,0.8181691765785217
1106,702,0.7829216718673706
1106,705,0.7347197532653809
1106,708,0.8784936666488647
1106,709,0.755725085735321
1106,801,0.8623579144477844
1106,808,0.7584614753723145
1201,1202,0.8863415718078613
1201,1203,0.6266667246818542
1201,1204,0.5962606072425842
1201,1205,0.8713613748550415
1201,1206,0.8713715076446533
1201,1301,0.8038334846496582
1201,1302,0.8078336119651794
1201,1303,0.8374001383781433
1201,1304,0.8761037588119507
1201,1305,0.6961193680763245
1201,1306,0.8593839406967163
1201,1307,0.851999819278717
1201,1308,0.5359178185462952
1201,1501,0.8488298654556274
1201,1502,0.7195680737495422
1201,1503,0.46626853942871094
1201,1504,0.6629960536956787
1201,1505,0.8330753445625305
1201,1506,0.8107947707176208
1201,1507,0.5198298096656799
1201,501,0.7324780225753784
1201,502,0.7077595591545105
1201,508,0.819855809211731
1201,610,0.8226329684257507
1201,701,0.8532528281211853
1201,702,0.701717734336853
1201,705,0.8513927459716797
1201,708,0.8682624101638794
1201,709,0.8135930299758911
1201,801,0.8669655919075012
1201,808,0.62937992811203
1202,1203,0.6117386817932129
1202,1204,0.6625969409942627
1202,1205,0.8860867023468018
1202,1206,0.9231682419776917
1202,1301,0.8282445669174194
1202,1302,0.8412948846817017
1202,1303,0.8989142775535583
1202,1304,0.8913776874542236
1202,1305,0.7813000082969666
1202,1306,0.9231376647949219
1202,1307,0.9086471199989319
1202,1308,0.6265689134597778
1202,1501,0.9006574153900146
1202,1502,0.7739905714988708
1202,1503,0.5687817931175232
1202,1504,0.7204088568687439
1202,1505,0.8621646165847778
1202,1506,0.856977105140686
1202,1507,0.6270341873168945
1202,501,0.6965386271476746
1202,502,0.7318289279937744
1202,508,0.7959240078926086
1202,610,0.8581949472427368
1202,701,0.8614487648010254
1202,702,0.746150016784668
1202,705,0.7845687866210938
1202,708,0.897580623626709
1202,709,0.8213813304901123
1202,801,0.886467695236206
1202,808,0.7488583326339722
1203,1204,0.41225433349609375
1203,1205,0.6106855273246765
1203,1206,0.6268491148948669
1203,1301,0.5415947437286377
1203,1302,0.6042699813842773
1203,1303,0.5464075803756714
1203,1304,0.5925720930099487
1203,1305,0.5414630770683289
1203,1306,0.6126049160957336
1203,1307,0.5862758159637451
1203,1308,0.3413214385509491
1203,1501,0.5965355038642883
1203,1502,0.5558290481567383
1203,1503,0.37487030029296875
1203,1504,0.42330074310302734
1203,1505,0.5764445066452026
1203,1506,0.5649690628051758
1203,1507,0.3429103493690491
1203,501,0.49945706129074097
1203,502,0.532856285572052
1203,508,0.5542042851448059
1203,610,0.5375887155532837
1203,701,0.6050753593444824
1203,702,0.5410680174827576
1203,705,0.578420877456665
1203,708,0.5991747379302979
1203,709,0.5960110425949097
1203,801,0.6242514848709106
1203,808,0.33763355016708374
1204,1205,0.6260058283805847
1204,1206,0.6789544820785522
1204,1301,0.645180344581604
1204,1302,0.6504608988761902
1204,1303,0.636604905128479
1204,1304,0.647563636302948
1204,1305,0.6782850027084351
1204,1306,0.6255778074264526
1204,1307,0.598615288734436
1204,1308,0.6139026880264282
1204,1501,0.6770281791687012
1204,1502,0.521675705909729
1204,1503,0.531073808670044
1204,1504,0.6938051581382751
1204,1505,0.6806919574737549
1204,1506,0.698161780834198
1204,1507,0.49672573804855347
1204,501,0.5013831257820129
1204,502,0.6600474715232849
1204,508,0.5501431226730347
1204,610,0.614085853099823
1204,701,0.5908482074737549
1204,702,0.6400548219680786
1204,705,0.5459761619567871
1204,708,0.6566422581672668
1204,709,0.5835168957710266
1204,801,0.634159505367279
1204,808,0.5768309235572815
1205,1206,0.9061059355735779
1205,1301,0.8364876508712769
1205,1302,0.8278809189796448
1205,1303,0.8429917097091675
1205,1304,0.8954605460166931
1205,1305,0.7715165019035339
1205,1306,0.9007682800292969
1205,1307,0.8809506893157959
1205,1308,0.5299217700958252
1205,1501,0.8793618679046631
1205,1502,0.7796746492385864
1205,1503,0.5097259879112244
1205,1504,0.6807330846786499
1205,1505,0.840481162071228
1205,1506,0.8303562998771667
1205,1507,0.5547865033149719
1205,501,0.6755377054214478
1205,502,0.7316417694091797
1205,508,0.7647980451583862
1205,610,0.786089301109314
1205,701,0.8692988157272339
1205,702,0.7128362059593201
1205,705,0.8177938461303711
1205,708,0.9119784235954285
1205,709,0.8417648077011108
1205,801,0.8924560546875
1205,808,0.6164472699165344
1206,1301,0.8720865845680237
1206,1302,0.8703158497810364
1206,1303,0.9064847826957703
1206,1304,0.9095772504806519
1206,1305,0.8370102643966675
1206,1306,0.9112260341644287
1206,1307,0.8920301198959351
1206,1308,0.5793657898902893
1206,1501,0.9353433847427368
1206,1502,0.7511282563209534
1206,1503,0.6068778038024902
1206,1504,0.669833779335022
1206,1505,0.8857342004776001
1206,1506,0.8669401407241821
1206,1507,0.5953404903411865
1206,501,0.6989413499832153
1206,502,0.7434627413749695
1206,508,0.7872583866119385
1206,610,0.8524214625358582
1206,701,0.8533297777175903
1206,702,0.7865995168685913
1206,705,0.7953163385391235
1206,708,0.9237398505210876
1206,709,0.8121908903121948
1206,801,0.8948813080787659
1206,808,0.7178297638893127
1301,1302,0.8348588347434998
1301,1303,0.8117083311080933
1301,1304,0.8717084527015686
1301,1305,0.7879122495651245
1301,1306,0.8328413367271423
1301,1307,0.8538293242454529
1301,1308,0.6319470405578613
1301,1501,0.8365033864974976
1301,1502,0.6770243048667908
1301,1503,0.6057619452476501
1301,1504,0.6414558291435242
1301,1505,0.8240574598312378
1301,1506,0.7858968377113342
1301,1507,0.5347236394882202
1301,501,0.6537848114967346
1301,502,0.6915292739868164
1301,508,0.743035078048706
1301,610,0.7923474907875061
1301,701,0.7894209027290344
1301,702,0.7170509099960327
1301,705,0.7209454774856567
1301,708,0.8386878967285156
1301,709,0.7643828392028809
1301,801,0.8400578498840332
1301,808,0.6572580337524414
1302,1303,0.7926937341690063
1302,1304,0.8287449479103088
1302,1305,0.7180129885673523
1302,1306,0.8111546039581299
1302,1307,0.8131768703460693
1302,1308,0.6184496879577637
1302,1501,0.8308809995651245
1302,1502,0.7074546813964844
1302,1503,0.5843429565429688
1302,1504,0.6643474698066711
1302,1505,0.8323811888694763
1302,1506,0.8113377094268799
1302,1507,0.5842185020446777
1302,501,0.6607576608657837
1302,502,0.7969068884849548
1302,508,0.7160279154777527
1302,610,0.7956634163856506
1302,701,0.7871374487876892
1302,702,0.8167145252227783
1302,705,0.7140728235244751
1302,708,0.8201010227203369
1302,709,0.7624175548553467
1302,801,0.8302331566810608
1302,808,0.6442649960517883
1303,1304,0.8770380020141602
1303,1305,0.7725279927253723
1303,1306,0.8877952098846436
1303,1307,0.8564583659172058
1303,1308,0.6016409397125244
1303,1501,0.9060500860214233
1303,1502,0.7597037553787231
1303,1503,0.5850901007652283
1303,1504,0.6506156921386719
1303,1505,0.8358389139175415
1303,1506,0.8250144124031067
1303,1507,0.6980786919593811
1303,501,0.6648015975952148
1303,502,0.7055824995040894
1303,508,0.7506702542304993
1303,610,0.8508321642875671
1303,701,0.8054789900779724
1303,702,0.7199666500091553
1303,705,0.7437065839767456
1303,708,0.922861635684967
1303,709,0.7437804937362671
1303,801,0.8401232957839966
1303,808,0.8344839811325073
1304,1305,0.810673177242279
1304,1306,0.9197442531585693
1304,1307,0.9242683053016663
1304,1308,0.6076616048812866
1304,1501,0.8993349075317383
1304,1502,0.7810823321342468
1304,1503,0.5556151866912842
1304,1504,0.6935376524925232
1304,1505,0.8669682741165161
1304,1506,0.794074296951294
1304,1507,0.5810564756393433
1304,501,0.7320401072502136
1304,502,0.7216973900794983
1304,508,0.7622696161270142
1304,610,0.8088303804397583
1304,701,0.8402237892150879
1304,702,0.7173253297805786
1304,705,0.7931883335113525
1304,708,0.9021817445755005
1304,709,0.7880797386169434
1304,801,0.8992061614990234
1304,808,0.6803754568099976
1305,1306,0.8107383847236633
1305,1307,0.8180388808250427
1305,1308,0.5643057823181152
1305,1501,0.8408552408218384
1305,1502,0.6033139228820801
1305,1503,0.5618720054626465
1305,1504,0.5758734345436096
1305,1505,0.7724111080169678
1305,1506,0.7056145668029785
1305,1507,0.5128859281539917
1305,501,0.6043794751167297
1305,502,0.6265358924865723
1305,508,0.7016518712043762
1305,610,0.6597390174865723
1305,701,0.7152016162872314
1305,702,0.6493974328041077
1305,705,0.649019718170166
1305,708,0.7865266799926758
1305,709,0.688100278377533
1305,801,0.7650104761123657
1305,808,0.556725263595581
1306,1307,0.9434018135070801
1306,1308,0.5711593627929688
1306,1501,0.894767165184021
1306,1502,0.7631879448890686
1306,1503,0.5714329481124878
1306,1504,0.6985639333724976
1306,1505,0.8714394569396973
1306,1506,0.8357874155044556
1306,1507,0.5824929475784302
1306,501,0.6842555999755859
1306,502,0.7174879312515259
1306,508,0.7922717928886414
1306,610,0.8127977848052979
1306,701,0.8644094467163086
1306,702,0.712400496006012
1306,705,0.8061851263046265
1306,708,0.9112017154693604
1306,709,0.8164442777633667
1306,801,0.8901786208152771
1306,808,0.6935001015663147
1307,1308,0.6322612762451172
1307,1501,0.8829606175422668
1307,1502,0.7583948373794556
1307,1503,0.5438112020492554
1307,1504,0.6666833758354187
1307,1505,0.8493276834487915
1307,1506,0.7843631505966187
1307,1507,0.5393842458724976
1307,501,0.6961987018585205
1307,502,0.6944259405136108
1307,508,0.8042841553688049
1307,610,0.789703905582428
1307,701,0.8499013185501099
1307,702,0.6762531399726868
1307,705,0.7841043472290039
1307,708,0.8732696771621704
1307,709,0.7947643399238586
1307,801,0.8709644079208374
1307,808,0.652949869632721
1308,1501,0.5933420062065125
1308,1502,0.5377508401870728
1308,1503,0.4466784596443176
1308,1504,0.5547119379043579
1308,1505,0.5522773265838623
1308,1506,0.5510455369949341
1308,1507,0.4830244481563568
1308,501,0.4233640134334564
1308,502,0.5406436324119568
1308,508,0.517441987991333
1308,610,0.5614701509475708
1308,701,0.5351589918136597
1308,702,0.5265825390815735
1308,705,0.4411429166793823
1308,708,0.550792396068573
1308,709,0.5022529363632202
1308,801,0.5657601356506348
1308,808,0.5716082453727722
1501,1502,0.7501316070556641
1501,1503,0.6059240698814392
1501,1504,0.6669914126396179
1501,1505,0.866222620010376
1501,1506,0.8443559408187866
1501,1507,0.5859985947608948
1501,501,0.7154456377029419
1501,502,0.6995867490768433
1501,508,0.7737637162208557
1501,610,0.8208796977996826
1501,701,0.845693826675415
1501,702,0.6898674964904785
1501,705,0.783004641532898
1501,708,0.92588871717453
1501,709,0.8051551580429077
1501,801,0.8837849497795105
