公演ID,公演名,公演年,公演都市,URL
5,home,2000年1月~1月,東京,https://www.ponycanyon.co.jp/visual/PCBP000011579
6,FLAT,2000年5月~5月,"東京, 横浜",https://www.ponycanyon.co.jp/visual/PCBP000011620
7,news,2000年8月~9月,"札幌, 福岡, 埼玉, 大阪, 東京",https://www.ponycanyon.co.jp/visual/PCBP000011710
8,椿,2001年1月~2月,"東京, 大阪",https://www.ponycanyon.co.jp/visual/PCBP000011811
9,鯨,2001年6月~7月,"福岡, 仙台, 札幌, 名古屋, 大阪, 東京, 横浜",https://www.ponycanyon.co.jp/visual/PCBP000011812
10,雀,2001年12月~2002年1月,"大阪, 東京",https://www.ponycanyon.co.jp/visual/PCBP000011814
11,CHERRY  BLOSSOM FRONT345,2002年3月~5月,"大阪, 東京, 札幌, 福岡",https://www.ponycanyon.co.jp/visual/PCBP000011874
12,ATOM,2002年12月~2003年1月,"大阪, 東京",https://www.ponycanyon.co.jp/visual/PCBP000011875
13,CLASSIC,2003年3月~4月,"東京, 大阪",https://www.ponycanyon.co.jp/visual/PCBP000011876
14,STUDY,2003年12月~2月,"大阪, 東京, 福岡, 札幌",https://www.ponycanyon.co.jp/visual/PCBP000011877
15,ALICE,2005年1月~4月,"東京, 札幌, 神戸, 福岡, 新潟, 仙台, 盛岡, 長崎, 松山, 名古屋, 京都",https://www.ponycanyon.co.jp/visual/PCBE000012079
16,TEXT,2007年2月~4月,"東京, 神戸, 福岡, 札幌",https://www.ponycanyon.co.jp/visual/PCBE000012080
17,TOWER,2009年4月~6月,"東京, 名古屋, 大阪, 京都, 神戸, 新潟, 高松, 広島, 山口, 札幌, 仙台, 福岡, 長崎",https://www.ponycanyon.co.jp/visual/PCBE000012085
